name,price,condition,brand,model,memory,powerPerformance,category,performance_score
EVGA NVIDIA GeForce GTX 1060 6 GB,59,Pre-Owned,EVGA,GeForce GTX 1060,6,83.92,Desktop,8845
NVIDIA NVIDIA GeForce RTX 3080 10 GB,450,Pre-Owned,NVIDIA,GeForce RTX 3080,10,77.66,Desktop,17441.5
NVIDIA NVIDIA GeForce RTX 2060 8 GB,155,Pre-Owned,NVIDIA,GeForce RTX 2060,8,87.2,Desktop,10736.5
EVGA NVIDIA GeForce RTX 3060 12 GB,221.5,Pre-Owned,EVGA,GeForce RTX 3060,12,99.76,Desktop,13234
EVGA NVIDIA GeForce RTX 3060 12 GB,217.5,Pre-Owned,EVGA,GeForce RTX 3060,12,99.76,Desktop,13234
EVGA NVIDIA GeForce RTX 3060 Ti 8 GB,230.5,Pre-Owned,EVGA,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
EVGA NVIDIA GeForce GTX 1080 Ti 11 GB,235,Pre-Owned,EVGA,GeForce GTX 1080 Ti,11,73.14,Desktop,13812
NVIDIA NVIDIA GeForce RTX 3080 10 GB,440,Pre-Owned,NVIDIA,GeForce RTX 3080,10,77.66,Desktop,17441.5
EVGA NVIDIA GeForce RTX 3060 12 GB,205,Pre-Owned,EVGA,GeForce RTX 3060,12,99.76,Desktop,13234
GIGABYTE NVIDIA GeForce RTX 3060 12 GB,290,Pre-Owned,GIGABYTE,GeForce RTX 3060,12,99.76,Desktop,13234
NVIDIA NVIDIA GeForce GTX 1070 Ti 8 GB,119,Pre-Owned,NVIDIA,GeForce GTX 1070 Ti,8,80.56,Desktop,11635
NVIDIA NVIDIA GeForce GTX 980 4 GB,64.99,Pre-Owned,NVIDIA,GeForce GTX 980,4,68.1,Desktop,9693.5
EVGA NVIDIA GeForce RTX 3080 Ti 12 GB,750,Brand New,EVGA,GeForce RTX 3080 Ti,12,76.82,Desktop,18598.5
ASUS NVIDIA GeForce RTX 3060 12 GB,225,Pre-Owned,ASUS,GeForce RTX 3060,12,99.76,Desktop,13234
EVGA NVIDIA GeForce RTX 3080 10 GB,479,Pre-Owned,EVGA,GeForce RTX 3080,10,77.66,Desktop,17441.5
EVGA NVIDIA GeForce RTX 3080 10 GB,440,Pre-Owned,EVGA,GeForce RTX 3080,10,77.66,Desktop,17441.5
NVIDIA NVIDIA GeForce RTX 3060 Ti 8 GB,300,Pre-Owned,NVIDIA,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
GIGABYTE NVIDIA GeForce RTX 3080 12 GB,799.99,Refurbished,GIGABYTE,GeForce RTX 3080,12,77.66,Desktop,17441.5
ZOTAC NVIDIA GeForce RTX 3080 10 GB,400,Pre-Owned,ZOTAC,GeForce RTX 3080,10,77.66,Desktop,17441.5
NVIDIA NVIDIA GeForce RTX 3080 Ti 12 GB,695,Pre-Owned,NVIDIA,GeForce RTX 3080 Ti,12,76.82,Desktop,18598.5
SAPPHIRE AMD Radeon RX 5700 XT 8 GB,149.99,Pre-Owned,SAPPHIRE,Radeon RX 5700 XT,8,75.08,Desktop,13221
ZOTAC NVIDIA GeForce RTX 3080 10 GB,419.99,Pre-Owned,ZOTAC,GeForce RTX 3080,10,77.66,Desktop,17441.5
EVGA NVIDIA GeForce GTX 1070 8 GB,95,Pre-Owned,EVGA,GeForce GTX 1070,8,89.88,Desktop,11026
ASUS NVIDIA GeForce GTX 1060 6 GB,51,Pre-Owned,ASUS,GeForce GTX 1060,6,83.92,Desktop,8845
NVIDIA NVIDIA GeForce RTX 3070 8 GB,339,Pre-Owned,NVIDIA,GeForce RTX 3070,8,100.42,Desktop,15891.5
EVGA NVIDIA GeForce GTX 1080 Ti 11 GB,170.01,Pre-Owned,EVGA,GeForce GTX 1080 Ti,11,73.14,Desktop,13812
EVGA NVIDIA GeForce GTX 970 4 GB,59,Pre-Owned,EVGA,GeForce GTX 970,4,66.81,Desktop,8749
EVGA NVIDIA GeForce RTX 3080 Ti 12 GB,660,Pre-Owned,EVGA,GeForce RTX 3080 Ti,12,76.82,Desktop,18598.5
ZOTAC NVIDIA GeForce RTX 3060 Ti 8 GB,208.37,Pre-Owned,ZOTAC,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
EVGA NVIDIA GeForce GTX 1060 6 GB,53,Pre-Owned,EVGA,GeForce GTX 1060,6,83.92,Desktop,8845
NVIDIA NVIDIA GeForce RTX 3060 Ti 8 GB,280,Pre-Owned,NVIDIA,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
EVGA NVIDIA GeForce RTX 3080 10 GB,405,Pre-Owned,EVGA,GeForce RTX 3080,10,77.66,Desktop,17441.5
GIGABYTE NVIDIA GeForce RTX 2070 8 GB,200,Pre-Owned,GIGABYTE,GeForce RTX 2070,8,91.88,Desktop,12204.5
EVGA NVIDIA GeForce RTX 3060 12 GB,269.99,Pre-Owned,EVGA,GeForce RTX 3060,12,99.76,Desktop,13234
EVGA NVIDIA GeForce RTX 3060 12 GB,175,Pre-Owned,EVGA,GeForce RTX 3060,12,99.76,Desktop,13234
NVIDIA NVIDIA GeForce RTX 3060 Ti 8 GB,284.95,Pre-Owned,NVIDIA,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
EVGA NVIDIA GeForce GTX 1060 6 GB,52,Pre-Owned,EVGA,GeForce GTX 1060,6,83.92,Desktop,8845
NVIDIA NVIDIA GeForce RTX 3070 Ti 8 GB,350,Pre-Owned,NVIDIA,GeForce RTX 3070 Ti,8,80.58,Desktop,16698.5
XFX AMD Radeon RX 480 8 GB,65,Pre-Owned,XFX,Radeon RX 480,8,57.83,Desktop,8232
PNY NVIDIA GeForce GTX 1080 Ti 11 GB,135.5,Pre-Owned,PNY,GeForce GTX 1080 Ti,11,73.14,Desktop,13812
PNY NVIDIA GeForce GTX 1080 Ti 11 GB,138.01,Pre-Owned,PNY,GeForce GTX 1080 Ti,11,73.14,Desktop,13812
EVGA NVIDIA GeForce RTX 2080 8 GB,205,Pre-Owned,EVGA,GeForce RTX 2080,8,74.93,Desktop,13951
MSI NVIDIA GeForce RTX 3070 8 GB,265,Open Box,MSI,GeForce RTX 3070,8,100.42,Desktop,15891.5
EVGA NVIDIA GeForce RTX 3060 Ti 8 GB,265,Pre-Owned,EVGA,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
EVGA NVIDIA GeForce GTX 1060 6 GB,51,Pre-Owned,EVGA,GeForce GTX 1060,6,83.92,Desktop,8845
XFX AMD Radeon RX 580 8 GB,53,Pre-Owned,XFX,Radeon RX 580,8,48.14,Desktop,8313.5
MSI NVIDIA GeForce RTX 3060 Ti 8 GB,255,Pre-Owned,MSI,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
NVIDIA NVIDIA GeForce GTX 1660 6 GB,87,Pre-Owned,NVIDIA,GeForce GTX 1660,6,97.46,Desktop,9827.5
GIGABYTE NVIDIA GeForce RTX 3060 Ti 8 GB,238.99,Pre-Owned,GIGABYTE,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
